t,x,y,z,true_grade_deg,grade_deg,camber_deg,grade_conf,roughness_deg,calibrated,disagreement_deg,est_stamp,tau,mu_lower,mu_sched_input,established,saturated,grade_level,traction_level,grade_msg,traction_msg,withdrawn,b3_engaged,b3_throttle,b3_lateral,b3_fallback_rate
0.0,-2.0,0.0,-0.0,0.0,-0.000,-0.000,1.000,0.000,True,0.000,18.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,wheel speed below the traction-demand floor,0,0,0.5,3.0,0.0
0.1,-1.993,0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.680,-0.0000,0.0000,0.3500,False,True,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.2,-1.9663,0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.780,-0.0000,0.0000,0.3500,False,True,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.3,-1.9313,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.4,-1.8963,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,18.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.5,-1.8613,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.6,-1.8263,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.7,-1.7913,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.8,-1.7563,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
0.9,-1.7283,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.0,-1.6933,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.1,-1.6583,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.2,-1.6233,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.3,-1.5883,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.4,-1.5533,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.5,-1.5183,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,19.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.6,-1.4833,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.7,-1.4553,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.8,-1.4203,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
1.9,-1.3923,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.0,-1.3573,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.1,-1.3293,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.2,-1.2943,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.3,-1.2593,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.4,-1.2243,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.5,-1.1893,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,20.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.6,-1.1543,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.7,-1.1193,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.8,-1.0843,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
2.9,-1.0493,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.0,-1.0143,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.1,-0.9793,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.2,-0.9443,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.3,-0.9093,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.4,-0.8743,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.5,-0.8393,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,21.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.6,-0.8043,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.7,-0.7693,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.8,-0.7343,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
3.9,-0.6993,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.400,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.0,-0.6643,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.1,-0.6293,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.2,-0.5943,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.3,-0.5593,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.4,-0.5243,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.5,-0.4893,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,22.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.6,-0.4613,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.7,-0.4193,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.8,-0.3913,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
4.9,-0.3493,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.0,-0.3213,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.1,-0.2863,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.2,-0.2513,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.3,-0.2233,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.4,-0.1883,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.5,-0.1603,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.6,-0.1253,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,23.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.7,-0.0903,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.8,-0.0553,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
5.9,-0.0203,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.0,0.0147,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.1,0.0427,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.2,0.0777,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.3,0.1127,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.4,0.1477,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.5,0.1827,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.6,0.2177,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,24.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.7,0.2527,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.8,0.2877,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
6.9,0.3227,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.0,0.3577,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.1,0.3927,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.2,0.4277,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.3,0.4697,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.4,0.4977,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.5,0.5327,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.6,0.5677,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,25.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.7,0.6027,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.080,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.8,0.6377,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.180,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
7.9,0.6727,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.280,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.0,0.7077,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.380,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.1,0.7427,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.480,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.2,0.7707,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.580,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.3,0.8057,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.680,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.4,0.8407,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.780,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.5,0.8757,-0.0,-0.0,0.0,0.000,0.000,1.000,0.000,True,0.000,26.880,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.6,0.9036,-0.0,0.0004,0.0,0.000,0.000,1.000,0.000,True,0.000,26.980,0.0000,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.7,0.9372,-0.0,0.0054,0.0,0.278,0.000,0.635,0.255,True,0.153,27.080,-0.0043,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.8,0.9711,-0.0,0.0106,0.0,1.065,0.000,0.634,0.917,True,0.146,27.180,-0.0008,0.0000,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
8.9,1.0052,-0.0,0.016,18.0,2.273,0.000,0.585,1.834,True,0.140,27.280,0.0053,0.0053,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.0,1.0391,-0.0,0.0215,18.0,3.828,0.000,0.437,2.896,True,0.165,27.380,0.0139,0.0139,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.1,1.0728,-0.0,0.027,18.0,5.665,0.000,0.280,4.020,True,0.175,27.480,0.0264,0.0264,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.2,1.1058,-0.0,0.0343,18.0,7.716,0.000,0.192,5.132,True,--,27.580,0.0534,0.0534,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.3,1.1391,-0.0,0.0452,18.0,9.553,0.000,0.034,5.849,True,0.023,27.680,0.0717,0.0717,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.4,1.1724,-0.0,0.056,18.0,11.060,0.000,0.000,6.145,True,0.021,27.780,0.0919,0.0919,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.5,1.2057,-0.0,0.0668,18.0,12.298,0.000,0.000,6.150,True,0.020,27.880,0.1129,0.1129,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.6,1.239,-0.0,0.0776,18.0,12.298,0.000,0.000,6.150,True,0.020,27.880,0.1129,0.1129,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.7,1.2722,-0.0,0.0885,18.0,14.150,0.000,0.081,5.637,True,0.019,28.080,0.1538,0.1538,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.8,1.3055,-0.0,0.0993,18.0,14.836,0.000,0.168,5.242,True,0.019,28.180,0.1727,0.1727,0.3500,False,False,1,1,body pitch is scattering too much to be the surface,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
9.9,1.3388,-0.0,0.1101,18.0,15.400,0.000,0.265,4.809,True,0.019,28.280,0.1903,0.1903,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.0,1.3721,-0.0,0.1209,18.0,15.945,0.000,0.383,4.275,True,0.019,28.400,0.2095,0.2095,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.1,1.4054,-0.0,0.1317,18.0,16.243,0.000,0.461,3.925,True,0.019,28.480,0.2211,0.2211,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.2,1.4387,-0.0,0.1425,18.0,16.556,0.000,0.555,3.504,True,0.019,28.580,0.2343,0.2343,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.3,1.472,-0.0,0.1533,18.0,16.813,0.000,0.643,3.108,True,0.019,28.680,0.2460,0.2460,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.4,1.5052,-0.0,0.1642,18.0,17.025,0.000,0.724,2.742,True,0.019,28.780,0.2565,0.2565,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.5,1.5385,-0.0,0.175,18.0,17.198,0.000,0.798,2.408,True,0.019,28.880,0.2657,0.2657,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.6,1.5652,-0.0,0.1836,18.0,17.198,0.000,0.798,2.408,True,0.019,28.880,0.2657,0.2657,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.7,1.6051,-0.0,0.1966,18.0,17.458,0.000,0.926,1.835,True,0.019,29.080,0.2809,0.2809,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.8,1.6317,-0.0,0.2053,18.0,17.458,0.000,0.926,1.835,True,0.019,29.080,0.2809,0.2809,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
10.9,1.665,-0.0,0.2161,18.0,17.555,0.000,0.979,1.594,True,0.019,29.180,0.2871,0.2871,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
11.0,1.6983,-0.0,0.2269,18.0,17.634,0.000,1.000,1.380,True,0.019,29.280,0.2925,0.2925,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
11.1,1.7316,-0.0,0.2377,18.0,17.699,0.000,1.000,1.192,True,0.019,29.380,0.2971,0.2971,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
11.2,1.7649,-0.0,0.2485,18.0,17.753,0.000,1.000,1.028,True,0.019,29.480,0.3012,0.3012,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
11.3,1.7982,-0.0,0.2593,18.0,17.797,0.000,1.000,0.884,True,0.019,29.580,0.3047,0.3047,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
11.4,1.8315,-0.0,0.2702,18.0,17.833,0.000,1.000,0.758,True,0.019,29.680,0.3076,0.3076,0.3500,False,False,0,1,grade estimate valid,bound not yet established: nothing measured beyond the a-priori floor,0,0,0.5,3.0,0.0
